14|8|8|8|8|13|11|11|11|10|12|13|11|11|11|14|8|9|10|12|13|14|9|14|9|11|10|9|11|14|12|9
10|5|7|7|3|14|4|1|3|6|9|14|0|5|3|10|5|2|1|14|8|9|3|11|3|6|1|6|1|14|12|1
6|9|14|9|6|12|12|5|6|8|0|12|4|8|5|2|9|7|2|8|5|2|4|1|2|9|7|14|1|10|12|1
11|3|10|4|8|8|12|8|8|5|6|13|14|4|13|7|6|13|7|2|9|2|13|6|5|2|12|12|5|2|13|3
6|1|3|11|7|7|14|1|7|11|14|9|11|14|8|12|8|12|13|3|3|7|10|13|14|5|10|13|14|1|14|1
10|4|4|4|8|13|10|5|11|6|12|0|1|14|1|11|2|13|11|3|2|9|2|13|10|13|3|10|13|3|14|1
3|14|12|9|3|10|4|13|3|10|8|5|3|10|5|2|0|12|4|1|7|3|2|12|1|10|0|5|10|5|14|1
7|10|12|4|1|2|9|14|1|7|6|13|6|1|14|5|3|14|12|5|11|7|7|11|3|7|6|12|5|10|12|1
11|3|10|13|7|3|6|8|5|10|8|9|10|1|10|9|6|8|13|11|6|8|13|3|6|8|13|11|10|4|13|3
6|4|5|10|8|0|9|3|14|5|7|6|1|7|3|7|10|0|13|2|12|1|14|4|9|3|10|1|3|11|14|5
10|12|8|5|7|3|7|3|14|9|10|12|1|14|1|14|1|6|8|4|13|2|12|9|6|0|5|2|4|4|9|11
3|11|2|12|13|6|13|2|12|4|0|13|6|8|5|11|3|14|1|11|10|5|10|5|11|2|9|7|10|13|6|5
2|5|6|13|10|9|14|4|8|9|6|12|9|6|9|3|3|14|1|3|7|14|0|9|2|5|6|9|6|12|9|11
7|11|10|9|7|2|9|10|5|6|9|11|2|13|6|5|7|11|7|6|12|8|5|6|1|10|12|0|9|14|0|5
10|1|7|3|14|5|6|4|9|14|5|6|5|10|12|8|8|4|8|13|11|7|14|8|1|3|14|1|3|10|5|11
7|3|14|1|14|9|14|12|4|8|12|9|10|4|9|7|2|13|3|10|4|13|11|7|3|2|13|7|3|6|9|3
10|4|12|0|13|3|14|12|8|5|14|0|4|9|7|11|3|11|6|0|13|14|0|12|1|7|14|12|4|13|6|1
3|10|12|0|8|0|12|8|5|10|8|5|11|3|14|4|5|3|14|1|14|8|4|9|7|10|13|11|11|11|11|3
7|7|10|5|7|6|9|3|11|7|3|14|1|6|9|11|10|4|8|0|13|7|14|0|13|6|12|0|5|6|4|1
10|13|3|11|10|12|5|7|2|8|0|9|2|13|6|5|3|11|3|6|13|10|13|6|13|11|11|6|9|10|12|1
3|10|4|5|7|11|14|12|5|7|3|6|1|10|12|9|6|5|6|8|8|4|8|12|9|3|3|11|2|4|13|3
6|0|13|10|12|0|13|10|13|11|7|14|4|5|14|4|8|8|9|7|2|13|7|11|2|1|6|4|4|9|10|5
11|2|13|3|10|4|9|6|9|6|12|9|10|8|12|12|1|7|7|14|0|13|14|4|5|6|12|12|12|5|3|11
2|4|12|5|3|14|1|10|4|8|12|4|1|7|10|12|4|8|8|13|7|14|12|8|12|9|11|10|9|14|4|1
6|13|11|11|6|13|7|2|13|6|9|11|6|13|7|10|8|5|2|13|11|11|10|1|11|7|2|5|3|10|12|5
10|9|3|3|11|14|9|7|10|8|1|3|14|8|12|5|7|11|6|9|2|0|5|2|5|10|5|10|4|4|12|9
7|3|6|0|4|9|6|12|5|3|7|2|13|6|8|13|11|3|11|6|5|2|13|3|11|2|13|7|10|13|10|1
10|4|12|5|11|3|10|12|8|4|13|3|14|12|0|12|4|5|3|10|13|7|10|4|5|3|14|12|1|14|1|3
3|11|10|12|1|2|4|13|7|14|12|4|8|13|6|8|9|10|5|2|13|11|2|13|10|4|9|14|0|13|3|3
6|1|7|10|4|0|12|12|9|11|10|8|4|13|11|7|3|3|10|4|8|1|7|14|5|11|2|13|6|8|5|3
11|2|9|7|14|1|11|10|0|4|1|6|9|11|6|12|0|0|5|14|5|6|8|9|14|1|2|12|13|3|11|3
6|5|6|12|13|6|5|7|7|14|5|14|5|6|12|12|5|7|14|12|12|12|5|6|13|6|4|13|14|4|5|7
